delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
464235,27389,4838,8515,14835,6292,4800,3917,2022-03-14 00:20:28.385866
1487562,88760,50957,10355,6311,6170,5019,6065,2022-03-14 00:20:29.366066
842802,201366,2720,80637,17282,11525,31686,19649,2022-03-14 00:20:30.365582
1439191,34918,13278,6110,5803,2389,1802,1552,2022-03-14 00:20:31.407993
3460552,336244,36316,93863,60545,31271,18704,15176,2022-03-14 00:20:32.371403
164268,29562,5328,5886,3623,3729,1421,978,2022-03-14 00:20:33.372797
707167,86221,27585,27128,15935,16053,5871,4661,2022-03-14 00:20:34.368130
232616,114365,10518,20762,13900,9059,8996,12995,2022-03-14 00:20:35.377863
567064,49527,31737,11352,12119,24405,28847,18542,2022-03-14 00:20:36.361890
333019,88303,101569,56621,106045,14745,13034,32987,2022-03-14 00:20:37.370677
771380,373728,68595,36057,82687,62735,62260,27827,2022-03-14 00:20:38.398285
496483,458549,110445,44060,71682,44764,11127,63480,2022-03-14 00:20:39.363868
928023,566085,118523,20337,39488,67130,10369,20840,2022-03-14 00:20:40.367498
3025680,124025,89564,148636,53324,31244,7747,10945,2022-03-14 00:20:41.371732
185298,17730,8929,11239,7945,16087,4513,3531,2022-03-14 00:20:42.362861
195184,12782,7401,2936,1435,2546,1039,1047,2022-03-14 00:20:43.376392
753609,65112,4926,33342,9803,27823,4673,5165,2022-03-14 00:20:44.384606
281762,148513,15269,15904,10478,4097,2455,8152,2022-03-14 00:20:45.388524
70371,111989,15742,16395,14264,13763,13483,15655,2022-03-14 00:20:46.372766
1336302,378136,128042,91991,20287,13521,5609,14729,2022-03-14 00:20:47.369172
1000137,105249,38037,39502,83662,12502,12543,8456,2022-03-14 00:20:48.363908
712591,27339,12499,1838,7006,4456,4855,1585,2022-03-14 00:20:49.382849
1432717,168958,4157,35332,4462,11589,6464,7448,2022-03-14 00:20:50.374650
1959614,255975,25797,39610,25836,74808,18807,14064,2022-03-14 00:20:51.364471
660190,54973,15543,16835,8949,16386,12034,5416,2022-03-14 00:20:52.378236
880278,458691,31997,29822,61977,39961,40649,25717,2022-03-14 00:20:53.366036
710328,68042,56848,8896,6973,8872,4553,4136,2022-03-14 00:20:54.370417
623612,52942,12802,2085,2592,3008,2459,2485,2022-03-14 00:20:55.366244
227614,223939,72788,44745,37922,16974,18629,10350,2022-03-14 00:20:56.393341
